[INFO] Loading: Tetris.gb
[INFO] Filesize: 32768
[INFO] Catrige type is: 0x00 - ROM ONLY
[INFO] ROM size is: 0x00 - 256Kbit = 32KByte = 2 banks
[INFO] RAM size is: 0x00 - None
[INFO] Bios logo check passed
[INFO] Bios Rom SUM is : 0x0200
[INFO] Bios Rom SUM passed
[INFO] Rom loaded correctly
[INFO] System reset done
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xef, C=0x10, D=0x00, E=0xd8, F=0x60, H=0xdf, L=0xee
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xef, C=0x10, D=0x00, E=0xd8, F=0x60, H=0xdf, L=0xed
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xee, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xed
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xee, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xed
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xee, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xec
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xed, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xec
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xed, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xec
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xed, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xeb
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xec, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xeb
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xec, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xeb
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xec, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xea
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xeb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xea
[DEBUG] OPC-0x0020, PC-0x0216, SP-0xfffe, ARG-0x00fc, A=0x00, B=0xeb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xea
[DEBUG] OPC-0x0032, PC-0x0214, SP-0xfffe, ARG-0x0000, A=0x00, B=0xeb, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xe9
[DEBUG] OPC-0x0005, PC-0x0215, SP-0xfffe, ARG-0x0000, A=0x00, B=0xea, C=0x10, D=0x00, E=0xd8, F=0x40, H=0xdf, L=0xe9
